1; 2000; 0.018780; 2.45; 1
1; 2000; 0.018948; 2.45; 2
1; 2000; 0.011171; 2.45; 3
1; 4000; 0.019790; 2.45; 1
1; 4000; 0.050268; 2.45; 2
1; 4000; 0.049289; 2.45; 3
1; 8000; 0.078629; 2.45; 1
1; 8000; 0.181658; 2.45; 2
1; 8000; 0.212224; 2.45; 3
1; 16000; 0.301229; 2.45; 1
1; 16000; 0.720980; 2.45; 2
1; 16000; 0.881351; 2.45; 3
1; 32000; 1.202949; 2.45; 1
1; 32000; 2.871744; 2.45; 2
1; 32000; 3.594079; 2.45; 3
1; 64000; 4.891277; 2.45; 1
1; 64000; 11.458422; 2.45; 2
1; 64000; 14.634903; 2.45; 3
1; 128000; 19.695435; 2.71; 1
1; 128000; 46.055542; 2.71; 2
1; 128000; 58.278233; 2.71; 3
2; 2000; 0.005049; 2.45; 1
2; 2000; 0.005350; 2.45; 2
2; 2000; 0.005394; 2.45; 3
2; 4000; 0.019945; 2.45; 1
2; 4000; 0.020581; 2.45; 2
2; 4000; 0.021115; 2.45; 3
2; 8000; 0.081830; 2.45; 1
2; 8000; 0.075752; 2.45; 2
2; 8000; 0.081035; 2.45; 3
2; 16000; 0.304377; 2.45; 1
2; 16000; 0.298193; 2.45; 2
2; 16000; 0.302462; 2.45; 3
2; 32000; 1.202004; 2.45; 1
2; 32000; 1.180084; 2.45; 2
2; 32000; 1.203911; 2.45; 3
2; 64000; 4.802090; 2.45; 1
2; 64000; 4.706740; 2.45; 2
2; 64000; 4.801859; 2.45; 3
2; 128000; 19.448318; 2.68; 1
2; 128000; 19.041573; 2.68; 2
2; 128000; 19.354340; 2.68; 3
3; 2000; 0.000017; 2.45; 1
3; 2000; 0.006034; 2.45; 2
3; 2000; 0.003704; 2.45; 3
3; 4000; 0.000025; 2.45; 1
3; 4000; 0.023672; 2.45; 2
3; 4000; 0.011373; 2.45; 3
3; 8000; 0.000046; 2.45; 1
3; 8000; 0.091134; 2.45; 2
3; 8000; 0.042888; 2.45; 3
3; 16000; 0.000093; 2.45; 1
3; 16000; 0.342707; 2.45; 2
3; 16000; 0.165093; 2.45; 3
3; 32000; 0.000324; 2.45; 1
3; 32000; 1.358779; 2.45; 2
3; 32000; 0.655145; 2.45; 3
3; 64000; 0.000365; 2.45; 1
3; 64000; 5.434184; 2.45; 2
3; 64000; 2.636548; 2.45; 3
3; 128000; 0.000782; 2.59; 1
3; 128000; 21.804703; 2.59; 2
